"category","photo_name","full_path","expected_integer","old_predicted_reading","new_predicted_reading","old_predicted_serial","new_predicted_serial","note"
"A_missing_reading","id_569_value_384_176.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_569_value_384_176.jpg","384","","","14689660","14689660",""
"A_missing_reading","id_880_value_462_079.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_880_value_462_079.jpg","462","","","","",""
"A_missing_reading","id_1193_value_147_365.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_1193_value_147_365.jpg","147","","","25914211","25914211",""
"A_missing_reading","id_842_value_401_992.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_842_value_401_992.jpg","401","","","14610706","14610706",""
"A_missing_reading","id_737_value_119_002.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_737_value_119_002.jpg","119","","","20100917","20100917",""
"A_missing_reading","id_721_value_134_634.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_721_value_134_634.jpg","134","","","34483206","34483206",""
"B_leading_zero_only","id_1061_value_572_883.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_1061_value_572_883.jpg","572","00572","00572","151059707","151059707",""
"B_leading_zero_only","id_71_value_90_216.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_71_value_90_216.jpg","90","00090","00090","160357308","160357308",""
"B_leading_zero_only","id_502_value_35_581.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_502_value_35_581.jpg","35","00035","00035","","",""
"B_leading_zero_only","id_551_value_569_424.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_551_value_569_424.jpg","569","00569","00569","11371068","11371068",""
"B_leading_zero_only","id_363_value_370_127.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_363_value_370_127.jpg","370","00370","00370","2764773R15","2764773R15",""
"B_leading_zero_only","id_695_value_93_701.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_695_value_93_701.jpg","93","00093","00093","D200222266","D200222266",""
"C_decimal_leak_or_extra_suffix","id_398_value_8_898.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_398_value_8_898.jpg","8","00008898","00008898","3441261A16","3441261A16",""
"C_decimal_leak_or_extra_suffix","id_924_value_625_593.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_924_value_625_593.jpg","625","062559","062559","0182397","0182397",""
"C_decimal_leak_or_extra_suffix","id_953_value_66_584.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_953_value_66_584.jpg","66","00066584","00066584","","",""
"C_decimal_leak_or_extra_suffix","id_261_value_80_19.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_261_value_80_19.jpg","80","0008090","0008090","827003316","827003316",""
"C_decimal_leak_or_extra_suffix","id_794_value_1078_458.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_794_value_1078_458.jpg","1078","01078458","01078458","","",""
"C_decimal_leak_or_extra_suffix","id_933_value_121_779.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_933_value_121_779.jpg","121","00121079","00121079","","",""
"D_too_short_or_truncated","id_53_value_595_825.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_53_value_595_825.jpg","595","0055","0055","005LG585","005LG585",""
"D_too_short_or_truncated","id_252_value_313_322.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_252_value_313_322.jpg","313","2","2","11045413","11045413",""
"D_too_short_or_truncated","id_851_value_305_162.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_851_value_305_162.jpg","305","00","00","","",""
"D_too_short_or_truncated","id_83_value_1336_114.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_83_value_1336_114.jpg","1336","008","008","","",""
"D_too_short_or_truncated","id_672_value_350_806.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_672_value_350_806.jpg","350","006","006","18235136","18235136",""
"D_too_short_or_truncated","id_2_value_495_341.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_2_value_495_341.jpg","495","0049","0049","25022791","25022791",""
"E_severely_wrong","id_553_value_65_475.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_553_value_65_475.jpg","65","9009","9009","","",""
"E_severely_wrong","id_407_value_21_86.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_407_value_21_86.jpg","21","010121","010121","34729105","34729105",""
"E_severely_wrong","id_1204_value_78_677.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_1204_value_78_677.jpg","78","9091176","9091176","909117617","909117617",""
"E_severely_wrong","id_112_value_365_387.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_112_value_365_387.jpg","365","100365","100365","1011104103305","1011104103305",""
"E_severely_wrong","id_988_value_108_494.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_988_value_108_494.jpg","108","8494","8494","0370465307","0370465307",""
"E_severely_wrong","id_1090_value_309_531.jpg","D:\giáo trình đại học fpt\Dataset SEP490\WaterMeters\images\id_1090_value_309_531.jpg","309","81532","81532","011082680201","011082680201",""
